year,age,f
1968,10,0.0105185795189138
1969,10,0.0095168784357443
1970,10,0.0081010106833276
1971,10,0.0164561252364813
1972,10,0.0162609553924714
1973,10,0.0107597368889022
1974,10,0.0138838136478683
1975,10,0.00847000124183271
1976,10,0.0143181581988612
1977,10,0.00478952840960032
1978,10,0.0056258595565528
1979,10,0.0112286707073655
1980,10,0.0130554975574219
1981,10,0.0176816799149832
1982,10,0.0167358643422115
1983,10,0.0106753949588786
1984,10,0.0122001132219811
1985,10,0.0138578123577329
1986,10,0.0148659634123104
1987,10,0.0147158449633055
1988,10,0.0204769538426359
1989,10,0.0162077514284343
1990,10,0.0140486938470435
1991,10,0.0123520794500782
1992,10,0.0159326630541496
1993,10,0.0111601532666123
1994,10,0.015134040199704
1995,10,0.0106736278871589
1996,10,0.0166837550853256
1997,10,0.0260987686801418
1998,10,0.0327085542178269
1999,10,0.0362433698625279
2000,10,0.0400935146198929
2001,10,0.0481820185451464
2002,10,0.0529165040179453
2003,10,0.0567218666885593
2004,10,0.0616720630039057
2005,10,0.0524162922793742
2006,10,0.0661286225617828
2007,10,0.0715473256631919
2008,10,0.0551920042134321
2009,10,0.0436666531720027
2010,10,0.038346818339389
2011,10,0.0459739022884286
2012,10,0.0488647375251425
2013,10,0.0480247137016523
2014,10,0.0512480048630869
2015,10,0.0566638605427048
2016,10,0.0497598196675325
2017,10,0.0501524296291583
2018,10,0.0593247026919783
2019,10,0.0528909232880109
2020,10,0.0445531479993648
2021,10,0.0427455619874745
2022,10,0.0426525075030252
2023,10,0.052906553927154
1952,11,9.08255260250158e-05
1953,11,0.000261420204320464
1954,11,0.00179170954315908
1955,11,0.00248989661973076
1956,11,0.00203111215066141
1957,11,0.0013182157275723
1958,11,0.00276917931074804
1959,11,0.00309067711347365
1960,11,0.00227217464224525
1961,11,0.00366258845101345
1962,11,0.00397362067914985
1963,11,0.0050618706237149
1964,11,0.0028009332642791
1965,11,0.00684562769532026
1966,11,0.00789357755156577
1967,11,0.00669598767665405
1968,11,0.0102056866119247
1969,11,0.00931576307141317
1970,11,0.00788966325061823
1971,11,0.0162525748293357
1972,11,0.0160233232900061
1973,11,0.0103928227550914
1974,11,0.0134520303422344
1975,11,0.00817266974291521
1976,11,0.0138492167357629
1977,11,0.00458396547653415
1978,11,0.00538464097475305
1979,11,0.0107924752364186
1980,11,0.0126037466124101
1981,11,0.0171322444540522
1982,11,0.0161329661277966
1983,11,0.0102613217317891
1984,11,0.0117880267172221
1985,11,0.0132735269959219
1986,11,0.014257974708217
1987,11,0.0141081449234148
1988,11,0.0195692538406301
1989,11,0.0155577228421454
1990,11,0.0134773359983224
1991,11,0.0118572653338533
1992,11,0.0153788990406694
1993,11,0.0106736233834482
1994,11,0.0143918847672535
1995,11,0.0101553063806252
1996,11,0.0159272310373462
1997,11,0.0250549017646795
1998,11,0.031293218285843
1999,11,0.0346862916177169
2000,11,0.0382500885981377
2001,11,0.045944675186625
2002,11,0.0503618528248167
2003,11,0.0542055415166571
2004,11,0.0585795298807395
2005,11,0.0498413549165222
2006,11,0.0628498003179481
2007,11,0.0683249205226046
2008,11,0.0523002786261005
2009,11,0.0412587758208669
2010,11,0.0362591661402697
2011,11,0.0433889251354375
2012,11,0.0460876223219853
2013,11,0.0453030707568613
2014,11,0.0480624167592879
2015,11,0.0531583078112198
2016,11,0.0466652587442943
2017,11,0.0469031575108182
2018,11,0.0554891488366982
2019,11,0.0497638759360248
2020,11,0.0419592190363418
2021,11,0.0402831332649592
2022,11,0.0400912011840598
2023,11,0.0499933029309073
1952,12,8.77841040894059e-05
1953,12,0.000253705580757232
1954,12,0.0017365517238471
1955,12,0.00238347973985906
1956,12,0.00194481802938745
1957,12,0.00126408770219535
1958,12,0.00266560527712884
1959,12,0.00295587418902735
1960,12,0.00218325745918625
1961,12,0.00350914688460128
1962,12,0.00388445460272623
1963,12,0.00488444586298592
1964,12,0.00271869128524368
1965,12,0.0066507882050174
1966,12,0.00764378292620209
1967,12,0.00649111708925239
1968,12,0.00995555716747378
1969,12,0.00913931327794761
1970,12,0.00771478134799295
1971,12,0.0160623040792981
1972,12,0.0158101455694717
1973,12,0.0100945996067315
1974,12,0.0130988214177911
1975,12,0.00792786131855604
1976,12,0.0134575232801877
1977,12,0.00440927114629292
1978,12,0.0051963467705436
1979,12,0.0104257684077025
1980,12,0.0122293143907219
1981,12,0.0166625845786151
1982,12,0.0156263095149767
1983,12,0.00991400592929458
1984,12,0.0114426439221794
1985,12,0.0127890788902656
1986,12,0.01374415853177
1987,12,0.0135893099737908
1988,12,0.0188134728717454
1989,12,0.0150342546896109
1990,12,0.0130095530250623
1991,12,0.0114526804417726
1992,12,0.0149201554720887
1993,12,0.0102752886853962
1994,12,0.0137837010003444
1995,12,0.00973409612875424
1996,12,0.0153092589859847
1997,12,0.0242297860157458
1998,12,0.0301561822388968
1999,12,0.0334136472730974
2000,12,0.0367398835906083
2001,12,0.0440803968052161
2002,12,0.0482235901722464
2003,12,0.0520374688880719
2004,12,0.0559212967111657
2005,12,0.0475835311232641
2006,12,0.0598203194538528
2007,12,0.0653331357914093
2008,12,0.0498112092559525
2009,12,0.039230287474585
2010,12,0.0345127854817598
2011,12,0.0412337256558219
2012,12,0.0438130067986194
2013,12,0.0430953355583144
2014,12,0.0454519529382742
2015,12,0.0503159179768162
2016,12,0.0441217934808947
2017,12,0.0441181227371054
2018,12,0.0521554359929535
2019,12,0.0470888632939259
2020,12,0.0397081170832044
2021,12,0.0381793002902597
2022,12,0.0379173153606377
2023,12,0.0474985188513846
1952,13,8.53797813369764e-05
1953,13,0.00024743229124796
1954,13,0.00169157078729492
1955,13,0.00229169470620588
1956,13,0.00186913136048466
1957,13,0.00121912403752902
1958,13,0.00257868281356121
1959,13,0.0028411257420715
1960,13,0.00210672967536158
1961,13,0.00337685229806033
1962,13,0.00381286691595326
1963,13,0.00473934742313358
1964,13,0.00265251078186063
1965,13,0.00649689081896359
1966,13,0.00743894038162111
1967,13,0.00631859202633675
1968,13,0.00975424920472554
1969,13,0.00898557248148104
1970,13,0.00756869233743014
1971,13,0.015885919611922
1972,13,0.0156203954457597
1973,13,0.00985361349896272
1974,13,0.0128084896221345
1975,13,0.00772194076075783
1976,13,0.0131324110287631
1977,13,0.00426010113611346
1978,13,0.00504493968776383
1979,13,0.0101174815046436
1980,13,0.0119107504699331
1981,13,0.0162536352086677
1982,13,0.0152009807716983
1983,13,0.00962208926584753
1984,13,0.0111501613317073
1985,13,0.0123879857156933
1986,13,0.0133038764427522
1987,13,0.0131513687751134
1988,13,0.0181689177853911
1989,13,0.0146065598347862
1990,13,0.0126209104424895
1991,13,0.0111193523148841
1992,13,0.0145402808588648
1993,13,0.00995198311811583
1994,13,0.0132738607515247
1995,13,0.0093856102047972
1996,13,0.0148055840374466
1997,13,0.0235511269603997
1998,13,0.029233443154261
1999,13,0.0323837289894744
2000,13,0.0354903647441538
2001,13,0.0425114988723215
2002,13,0.0464206116835312
2003,13,0.050157652044857
2004,13,0.053616254475239
2005,13,0.0456048119929224
2006,13,0.0570752183697092
2007,13,0.062493568732659
2008,13,0.0475586122479666
2009,13,0.0374857696559826
